@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %17s "test_CRYRING.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "12/03/21"
@ TIME             %08s "12.55.04"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_18"          "DRIFT"                         23.604              0.624                  0       -16.28624497                  0        3.339262802       -2.617993878                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6"               "QUADRUPOLE"                    23.887              0.283                  0       -16.42774497                  0        3.094177612       -2.617993878                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                         23.954              0.067                  0       -16.46124497                  0         3.03615391       -2.617993878                  0                  0                  0          0          0                  0                  0 ""                 
 "SF3"               "SEXTUPOLE"                     24.154                0.2                  0       -16.56124497                  0        2.862948829       -2.617993878                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                         24.504               0.35                  0       -16.73624497                  0        2.559839938       -2.617993878                  0                  0                  0          0          0                  0                  0 ""                 
 "DM6"               "RBEND"                    25.13215091       0.6281509143       0.5235987756        -16.8969716                  0               1.96       -3.141592654                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                          29.05        3.917849086                  0        -16.8969716                  0       -1.957849086       -3.141592654                  0                  0                  0          0          0                  0                  0 ""                 
 "DM7"               "RBEND"                    29.67815091       0.6281509143       0.5235987756       -16.73624497                  0       -2.557689024       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_22"          "DRIFT"                         30.286       0.6078490857                  0       -16.43232043                  0       -3.084101774       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "QF7"               "QUADRUPOLE"                    30.569              0.283                  0       -16.29082043                  0       -3.329186963       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                          31.46              0.891                  0       -15.84532043                  0       -4.100815598       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "QD4"               "QUADRUPOLE"                    31.743              0.283                  0       -15.70382043                  0       -4.345900787       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_24"          "DRIFT"                          31.81              0.067                  0       -15.67032043                  0       -4.403924489       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "SD4"               "SEXTUPOLE"                      32.01                0.2                  0       -15.57032043                  0        -4.57712957       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_25"          "DRIFT"                         32.634              0.624                  0       -15.25832043                  0       -5.117529422       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "QF8"               "QUADRUPOLE"                    32.917              0.283                  0       -15.11682043                  0       -5.362614611       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_26"          "DRIFT"                         32.984              0.067                  0       -15.08332043                  0       -5.420638313       -3.665191429                  0                  0                  0          0          0                  0                  0 ""                 
