@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %13s "test_TSR.MADX"
@ ORIGIN           %18s "5.05.02 Windows 64"
@ DATE             %08s "29/03/21"
@ TIME             %08s "11.18.22"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "DRIFT_18"          "DRIFT"                          35.94             1.1525                  0       -13.23644786                  0       -7.379655745       -3.926990817                  0                  0                  0          0          0                  0                  0 ""                 
 "AM32"              "SBEND"                    36.84320789       0.9032078879       0.7853981634       -12.42327506                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                         37.865        1.021792112                  0       -11.40148295                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QF33"              "QUADRUPOLE"                     38.19              0.325                  0       -11.07648295                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_20"          "DRIFT"                         38.625              0.435                  0       -10.64148295                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QD32"              "QUADRUPOLE"                     38.95              0.325                  0       -10.31648295                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_21"          "DRIFT"                          44.15                5.2                  0       -5.116482947                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QD41"              "QUADRUPOLE"                    44.475              0.325                  0       -4.791482947                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_22"          "DRIFT"                          44.91              0.435                  0       -4.356482947                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "QF41"              "QUADRUPOLE"                    45.235              0.325                  0       -4.031482947                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_23"          "DRIFT"                    46.25679211        1.021792112                  0       -3.009690835                  0       -7.716482947        -4.71238898                  0                  0                  0          0          0                  0                  0 ""                 
 "AM41"              "SBEND"                          47.16       0.9032078879       0.7853981634       -2.196518036                  0       -7.379655745       -5.497787144                  0                  0                  0          0          0                  0                  0 ""                 
